site_name,latitude,longitude,elevation
SITE1,29.485097,-106.770421,2062
SITE2,29.92155,-114.96888,1658
SITE3,31.4889,-110.4075,2162
SITE4,31.5527,-110.3467,1491
SITE5,31.6121586,-108.870797,547
SITE6,32.64,-117.083,2
SITE7,32.6746983,-117.1085538,6
SITE8,32.7352,-115.9668,-49
SITE10,33.058513,-115.223644,64
SITE11,33.1545903,-108.7015275,391
SITE12,33.39879,-118.467351,69
SITE13,33.413762,-118.470221,113
SITE14,33.445346,-118.533067,69
SITE15,33.5719174,-116.0727189,-49
SITE17,33.8889,-109.4133,116
SITE18,34.0076468,-119.8479954,142
SITE21,35.0529432,-118.1714749,845
SITE22,35.1423263,-119.4562744,85
SITE24,35.17621,-115.39825,1564
SITE25,35.1939609,-119.29954,87
SITE26,35.2377787,-115.4806422,1276
SITE27,35.2377793,-115.4850642,1288
SITE28,35.23778,-115.49833,2163
SITE29,35.2652,-115.4977,1282
SITE30,35.27897,-119.90177,90
SITE31,35.374779,-118.8776301,123
SITE32,35.882291,-119.271428,90
SITE33,36.059519,-119.31074,85
SITE34,36.489166,-117.870011,589
SITE35,36.6759,-120.6105,64
SITE36,36.7177,-111.9553,1559
SITE37,36.822224,-107.992233,1519
SITE38,36.96526,-119.727713,1727
SITE39,36.9746516,-122.0068146,1564
SITE42,37.060514,-120.84778,39
SITE43,37.3241,-121.89,54
SITE44,37.74361,-117.59,1300
SITE45,38.5344,-119.115,2898
SITE46,38.68011,-119.16972,1669
SITE47,38.96403,-117.1143,1658
SITE48,39.201,-121.8013333,101
SITE49,39.2389,-121.85602,1112
SITE50,39.347272,-115.641507,1327
SITE51,39.5021194,-120.2364196,1931
SITE52,39.57029,-121.55535,239
SITE53,39.581578,-121.560391,355
SITE54,39.97,-120.46,1673
SITE55,39.9855795,-120.4592777,1300
SITE56,40.62528,-112.18187,2428
SITE57,40.87621667,-119.6168167,402
SITE58,41.5422341,-122.5459913,857
SITE59,41.6727,-122.61153,879
SITE60,41.7374149,-122.5401478,770
SITE61,41.84056,-115.21645,3202
SITE62,41.93157,-115.43111,1301
SITE63,42.2483,-113.5606,2473
SITE64,42.3318,-116.1094,418
SITE65,42.3991,-122.8744,426
SITE66,42.4133,-122.7717,454
SITE67,42.4338,-122.8147,355
SITE68,42.4676,-113.6272,1734
SITE69,42.764,-113.6764,3202
SITE70,44.2407,-113.645,2170
SITE71,44.9431,-123.0339,2162
SITE72,49.178611,-119.775556,845
SITE73,50.2333,-119.35,1491
SITE74,54.0167,-132.15,396
SITE75,58.76944,-94.16528,1930
SITE76,59.5667,-133.7,278
SITE77,68.086733,-165.577797,449