"","lumMean","lumSD","area","maxPower","maxFreq","propPower","sumPower","meanPower","powerSD","uvMean","uvSD","swMean","swSD","mwMean","mwSD","lwMean","lwSD","dblMean","dblSD"
"MVZ1066","14758.605","4664.064","336074","651.368","29.344","0.029","22510.016","459.388","127.557","6348.643","1796.6","9988.998","3168.467","14766.113","4723.36","17585.076","5426.532","14758.605","4664.064"
"MVZ74244","14128.39","4744.657","279376","541.979","26.909","0.027","20209.446","412.438","84.053","5467.159","1801.025","9292.287","3214.844","14179.76","4788.336","16913.677","5538.175","14128.39","4744.657"
"MVZ74245","12212.158","3734.981","380851","502.219","34.896","0.027","18564.258","378.862","78.607","5036.232","1441.138","8147.647","2473.048","12233.866","3800.564","14667.114","4426.601","12212.158","3734.981"
"MVZ74248","13929.953","3780.651","332505","528.714","20.749","0.027","19493.756","397.832","81.8","6034.409","1562.231","9497.784","2580.384","13887.65","3835.896","16683.957","4494.441","13929.953","3780.651"
"MVZ74249","12992.553","4122.953","327801","551.437","24.675","0.027","20142.087","411.063","109.323","5336.447","1555.98","8650.432","2724.761","12967.727","4176.014","15683.431","4875.717","12992.553","4122.953"
"MVZ74251","11733.722","4090.859","304283","624.573","22.627","0.031","20369.719","415.709","126.46","4980.851","1732.587","7822.763","2788.342","11746.249","4150.667","14137.046","4763.582","11733.722","4090.859"
"MVZ74252","13075.835","4708.744","342490","726.459","29.344","0.03","24024.525","490.296","138.406","5712.011","1945.614","8999.032","3307.729","13109.663","4802.178","15484.834","5357.141","13075.835","4708.744"
"MVZ74253","12742.34","5601.975","329145","898.264","29.344","0.033","27615.193","563.575","216.241","5279.553","1981.187","8666.388","3783.694","12791.905","5671.577","15120","6463.64","12742.34","5601.975"
"MVZ74254","12880.703","5109.798","243713","742.96","24.675","0.029","25189.331","514.068","149.945","5298.116","1682.487","8635.248","3330.616","12931.954","5179.272","15356.558","6004.513","12880.703","5109.798"
"MVZ74255","13357.103","3787.426","336654","524.231","22.627","0.028","18965.519","387.051","86.097","5324.554","1516.526","8660.446","2551.054","13332.552","3845.789","16253.687","4509.402","13357.103","3787.426"
"MVZ74457","12758.589","4374.426","415059","680.261","24.675","0.031","22130.221","451.637","137.931","5252.73","1438.305","8531.251","2789.879","12827.699","4452.823","15193.024","5171.804","12758.589","4374.426"
"MVZ8090","15894.593","5127.533","289157","756.065","26.909","0.029","25799.363","526.518","138.913","6576.641","1804.175","10648.382","3410.642","15891.072","5183.227","18985.878","6037.19","15894.593","5127.533"
"MVZ852","14759.444","3599.699","254924","427.37","22.627","0.025","17206.214","351.147","53.224","5633.015","1555.005","9252.767","2608.828","14576.115","3677.761","18425.129","4122.851","14759.444","3599.699"
"MVZ853","15160.868","4001.997","233425","513.424","20.749","0.026","19505.378","398.069","73.332","5949.778","1482.731","9981.942","2737.057","15107.232","4072.395","18335.223","4635.168","15160.868","4001.997"
"MVZ854","16828.426","3489.572","297965","437.17","22.627","0.026","16993.936","346.815","53.523","6987.157","1435.832","11167.692","2595.917","16640.236","3645.553","20523.307","3805.669","16828.426","3489.572"
"MVZ855","15131.22","3874.856","328818","485.289","29.344","0.027","17831.662","363.911","75.517","6112.327","1668.342","9773.994","2772.665","14996.647","3949.226","18595.016","4461.332","15131.22","3874.856"
"MVZ961","16511.74","4103.207","305048","503.615","24.675","0.026","19035.224","388.474","68.256","7179.195","1886.645","11398.268","3093.622","16485.795","4211.842","19550.681","4544.97","16511.74","4103.207"
"MVZ966","13660.344","4460.179","333966","614.793","26.909","0.03","20215.477","412.561","126.23","5379.234","1627.974","8743.217","2823.114","13628.621","4508.995","16694.271","5322.173","13660.344","4460.179"
"MVZ102733","15110.913","5174.489","286784","741.329","38.055","0.03","24389.236","497.74","149.119","6454.991","1929.348","10252.043","3474.31","15101.216","5209.314","18010.389","6089.919","15110.913","5174.489"
"MVZ102734","16208.144","5260.295","311169","785.689","24.675","0.029","27039.313","551.823","150.244","6570.246","1926.674","10782.185","3516.943","16148.306","5314.135","19509.378","6168.922","16208.144","5260.295"
"MVZ163175","7485.869","2929.106","466430","376.319","32","0.025","14849.296","303.047","43.706","3625.959","1309.627","5589.601","2193.522","7670.769","2998.953","8451.333","3276.43","7485.869","2929.106"
"MVZ163176","6015.776","2814.174","372684","373.295","32","0.027","13997.096","285.655","55.698","2708.294","1148.245","4205.495","1912.272","6200.034","2822.338","6980.869","3338.008","6015.776","2814.174"
"MVZ163177","6608.658","2578.919","431800","353.973","26.909","0.027","12933.422","263.947","54.261","3227.212","1136.165","4863.569","1902.642","6764.157","2618.599","7575.235","2956.585","6608.658","2578.919"
"MVZ163179","5737.782","2507.293","403688","306.456","26.909","0.025","12110.51","247.153","39.069","2379.881","944.713","3889.594","1653.548","5897.537","2532.317","6781.393","2983.998","5737.782","2507.293"
"MVZ163180","6383.097","2399.423","454966","323.081","26.909","0.026","12422.664","253.524","44.104","3010.591","1052.858","4653.196","1759.23","6515.138","2438.461","7392.755","2758.824","6383.097","2399.423"
"MVZ163216","7465.304","2834.182","362018","359.422","26.909","0.026","13644.737","278.464","47.261","3594.226","1480.876","5511.569","2267.085","7632.382","2911.383","8503.939","3077.702","7465.304","2834.182"
"MVZ163217","6953.155","2833.718","360059","404.32","29.344","0.028","14333.713","292.525","63.097","3169.378","1205.286","4802.468","1976.685","7104.79","2854.604","8164.9","3322.367","6953.155","2833.718"
"MVZ163218","7006.44","2989.009","433173","432.169","29.344","0.028","15201.319","310.231","77.218","3017.042","1242.939","5055.049","2141.134","7204.772","3042.542","7986.078","3401.844","7006.44","2989.009"
"MVZ163219","6155.524","2721.278","482926","413.267","29.344","0.03","13750.175","280.616","78.828","3135.914","1384.418","4430.79","2011.638","6317.027","2727.768","7120.227","3156.81","6155.524","2721.278"
"MVZ163220","6192.823","2810.888","368879","377.619","24.675","0.027","14041.753","286.566","55.407","2849.06","1174.151","4405.657","1916.017","6358.485","2833.864","7175.974","3322.636","6192.823","2810.888"
"MVZ163234","7241.365","2661.548","450772","398.988","34.896","0.029","13594.049","277.43","72.098","3404.997","1111.288","5004.935","1746.593","7404.554","2666.296","8476.941","3194.165","7241.365","2661.548"
"MVZ163237","8100.056","2873.815","358931","366.276","24.675","0.026","13984.334","285.395","44.7","3352.219","1101.746","5433.908","1921.355","8261.913","2959.37","9559.712","3314.119","8100.056","2873.815"
"MVZ163239","6611.384","2698.67","336076","374.052","26.909","0.027","13621.243","277.985","58.791","2700.974","1060.295","4554.516","1790.326","6809.215","2750.225","7671.985","3160.195","6611.384","2698.67"
"MVZ163242","6754.336","2855.713","418123","400.726","29.344","0.028","14279.651","291.421","62.543","3176.85","1185.039","4868.773","2012.761","6922.913","2905.767","7773.409","3302.662","6754.336","2855.713"
"MVZ163243","7681.252","2670.829","302767","379.231","29.344","0.028","13553.969","276.612","69.835","3160.231","1194.578","5333.007","1908.169","7842.6","2672.011","8957.381","3120.601","7681.252","2670.829"
"MVZ163247","6343.234","2664.791","409705","401.891","34.896","0.03","13394.445","273.356","82.156","2410.595","968.547","4071.673","1627.035","6497.094","2678.678","7636.335","3259.691","6343.234","2664.791"
"MVZ163249","8151.725","3201.453","383219","463.273","32","0.028","16297.524","332.603","89.841","3570.382","1381.151","5869.874","2280.056","8327.198","3199.703","9342.379","3750.93","8151.725","3201.453"
"MVZ163250","6761.04","3114.603","362637","470.915","26.909","0.03","15576.501","317.888","90.283","3109.798","1319.099","4786.219","2201.632","6974.94","3172.066","7741.312","3549.017","6761.04","3114.603"
"MVZ163251","7690.391","3538.903","461125","481.218","29.344","0.027","17581.543","358.807","76.821","3021.58","1341.684","5205.683","2365.643","7868.575","3585.751","9011.792","4150.705","7690.391","3538.903"
"MVZ163254","5781.973","2482.53","341411","344.493","29.344","0.027","12748.754","260.179","52.637","2373.817","939.549","3942.976","1668.273","5966.046","2521.869","6767.675","2915.917","5781.973","2482.53"
"MVZ149571","10657.324","3695.933","247175","513.579","24.675","0.028","18537.933","378.325","84.158","4466.124","1471.837","7058.083","2461.342","10701.21","3765.799","12841.97","4318.54","10657.324","3695.933"
"MVZ149572","11933.23","3407.02","271855","378.051","29.344","0.023","16127.798","329.139","33.864","6002.821","1645.335","8399.751","2549.531","11738.106","3481.479","14546.143","3830.88","11933.23","3407.02"
"MVZ58954","8668.57","2800.196","436049","382.536","38.055","0.027","14400.917","293.896","48.821","3599.856","1125.781","5658.301","1876.097","8683.048","2875.523","10625.199","3283.532","8668.57","2800.196"
"MVZ67284","7820.259","3418.497","334359","516.285","29.344","0.031","16895.162","344.799","105.003","3042.329","1222.541","5231.766","2212.587","7952.294","3462.187","9296.004","4027.582","7820.259","3418.497"
"MVZ67286","7861.139","3464.496","314032","522.508","26.909","0.029","17857.7","364.443","101.241","3178.359","1185.137","5309.516","2240.15","8007.446","3523.336","9286.185","4059.484","7861.139","3464.496"
"MVZ71116","8298.176","2634.201","469836","386.324","34.896","0.028","13666.754","278.913","59.834","3578.82","1111.648","5765.042","1846.523","8372.366","2715.92","9849.009","2992.264","8298.176","2634.201"
"MVZ71117","9761.423","2983.858","366504","421.227","34.896","0.028","15042.548","306.991","66.571","3951.735","1225.372","6626.349","2122.448","9813.014","3089.733","11669.835","3368.067","9761.423","2983.858"
"MVZ71118","10706.931","2749.854","403793","337.012","22.627","0.025","13492.242","275.352","47.739","4852.177","1256.395","7554.285","2051.227","10674.228","2857.409","12776.036","3049.86","10706.931","2749.854"
"MVZ71119","11077.449","3454.523","430735","424.843","32","0.026","16576.001","338.286","49.364","4794.592","1399.68","7346.023","2362.122","11076.729","3537.649","13424.481","3984.54","11077.449","3454.523"
"MVZ71120","9266.344","3795.055","363619","552.032","26.909","0.029","19295.592","393.788","95.901","3823.958","1380.989","6367.096","2544.116","9399.469","3873.754","10880.152","4364.833","9266.344","3795.055"
"MVZ71121","10154.087","4416.18","433228","648.345","29.344","0.03","21384.384","436.416","125.838","4375.929","2048.339","7150.989","3146.855","10290.694","4461.891","11795.141","5071.222","10154.087","4416.18"
"MVZ82390","11690.09","3466.456","335914","452.449","26.909","0.026","17538.057","357.92","60.817","4643.927","1377.315","7846.053","2505.573","11614.756","3562.361","14220.458","3940.153","11690.09","3466.456"
"MVZ87783","10211.381","3143.369","295815","422.758","29.344","0.026","16006.887","326.671","65.95","3593.783","1078.541","6061.818","1906.835","10138.768","3142.878","12984.481","3928.767","10211.381","3143.369"
"MVZ87784","11375.245","2836.685","329051","386.566","29.344","0.026","14597.414","297.906","61.919","4030.421","994.281","6976.559","1774.025","11251.991","2868.747","14358.411","3521.852","11375.245","2836.685"
"MVZ87785","9767.321","3283.234","330737","471.454","24.675","0.028","16881.711","344.525","74.235","3385.238","1039.582","5859.291","1895.884","9722.216","3276.824","12348.907","4178.295","9767.321","3283.234"
"MVZ87786","10082.172","3722.381","316157","535.862","29.344","0.029","18375.14","375.003","99.383","4089.852","1830.709","6621.974","2632.469","10067.32","3701.601","12320.903","4460.185","10082.172","3722.381"
"MVZ87788","9039.911","3695.198","291180","520.651","26.909","0.027","19039.406","388.559","85.549","3418.895","1370.264","5773.737","2359.553","9059.036","3700.183","11122.314","4516.157","9039.911","3695.198"
"MVZ22707","6631.819","2308.917","400952","281.245","26.909","0.026","10995.469","224.397","36.272","2020.144","783.325","3922.274","1463.84","6643.185","2373.921","8466.255","2758.509","6631.819","2308.917"
"MVZ22708","6745.356","2199.765","287714","289.636","32","0.027","10558.095","215.471","57.384","2343.718","990.806","4424.086","1577.469","6890.762","2220.5","8062.527","2553.144","6745.356","2199.765"
"MVZ22709","7395.483","3269.84","276044","371.216","29.344","0.026","14331.885","292.487","53.236","2400.485","997.098","4795.42","2018.114","7546.274","3292.462","8842.958","3972.616","7395.483","3269.84"
"MVZ22710","7146.704","3365.383","301607","435.926","34.896","0.028","15800.458","322.458","68.228","2324.289","1144.533","4485.898","2045.324","7268.138","3360.114","8705.435","4160.226","7146.704","3365.383"
"MVZ22711","6445.335","2758.179","319136","355.884","22.627","0.026","13495.876","275.426","48.818","2142.428","831.291","4239.735","1740.352","6607.553","2801.379","7663.712","3298.074","6445.335","2758.179"
"MVZ22714","6824.244","2690.672","323138","382.481","34.896","0.03","12562.715","256.382","76.695","2497.59","1009.373","4541.17","1791.262","6965.474","2722.981","8125.566","3154.801","6824.244","2690.672"
"MVZ22719","6048.496","2381.17","290535","337.973","26.909","0.028","12098.967","246.918","55.952","1887.143","801.405","3721.432","1400.3","6170.265","2394.289","7442.128","2967.989","6048.496","2381.17"
"MVZ22720","8014.387","2317.739","369068","264.403","22.627","0.025","10624.109","216.819","30.641","2375.328","930.374","4755.517","1544.859","8061.628","2358.526","10060.28","2787.964","8014.387","2317.739"
"MVZ22721","7343.81","2893.536","403065","334.852","26.909","0.027","12490.197","254.902","70.12","2363.526","1123.735","4483.856","1871.478","7404.751","2873.295","9143.842","3547.086","7343.81","2893.536"
"MVZ22722","7825.342","2129.867","274591","252.792","26.909","0.025","9978.932","203.652","29.348","2334.865","885.988","4540.984","1508.541","7754.962","2183.36","10137.181","2495.037","7825.342","2129.867"
"MVZ22724","7641.532","2543.169","333275","261.137","29.344","0.024","10670.26","217.76","36.09","2168.008","1053.029","4287.688","1781.406","7552.224","2575.008","10041.015","2994.029","7641.532","2543.169"
"MVZ22727","5435.747","2362.206","295484","349.618","29.344","0.029","12122.006","247.388","62.503","1728.644","874.016","3323.736","1355.821","5543.518","2349.138","6750.158","3016.287","5435.747","2362.206"
"MVZ22729","7023.315","2619.186","187883","377.973","24.675","0.029","13034.079","266.002","68.814","1990.477","720.29","4229.298","1552.366","7137.268","2663.693","8679.316","3169.311","7023.315","2619.186"
"MVZ64579","6357.869","2580.227","409165","342.243","29.344","0.028","12440.842","253.895","59.227","2481.105","1250.292","4192.705","1774.134","6515.651","2597.77","7576.901","3092.904","6357.869","2580.227"
"MVZ64581","5640.471","1648.154","501009","217.988","29.344","0.026","8331.581","170.032","27.536","1931.871","642.771","3365.519","1031.578","5689.979","1651.654","7172.954","2078.981","5640.471","1648.154"
"MVZ64583","6213.526","2048.592","433160","247.405","41.499","0.027","9073.521","185.174","38.135","2027.279","896.079","3729.969","1419.142","6223.467","2089.378","7930.091","2407.858","6213.526","2048.592"
"MVZ64587","5780.586","2166.011","544564","233.698","49.351","0.025","9366.397","191.151","29.137","1943.145","813.918","3511.094","1351.244","5810.117","2176.799","7342.456","2687.502","5780.586","2166.011"
"MVZ64590","5218.854","1874.384","453667","265.864","34.896","0.029","9097.577","185.665","51.642","1761.664","645.828","3149.132","1079.391","5350.944","1866.974","6470.01","2380.235","5218.854","1874.384"
"MVZ64592","6033.685","1844.021","468427","267.448","29.344","0.029","9363.635","191.095","44.603","2064.687","738.535","3734.472","1166.74","6094.664","1874.799","7540.163","2247.295","6033.685","1844.021"
"MVZ64593","5194.069","2128.564","338850","290.113","38.055","0.028","10362.29","211.475","48.235","1932.442","813.221","3343.576","1304.571","5347.842","2130.636","6268.071","2651.119","5194.069","2128.564"
"MVZ162699","6708.074","2821.15","388666","338.956","24.675","0.026","12886.901","262.998","51.783","3014.68","1096.335","4647.536","1906.633","6818.899","2799.4","7953.755","3416.419","6708.074","2821.15"
"MVZ162700","6111.888","3390.141","384441","447.368","24.675","0.026","16891.216","344.719","69.257","2526.076","1413.023","3962.694","2281.407","6320.869","3432.809","7230.572","3975.25","6111.888","3390.141"
"MVZ162701","5491.761","2778.205","322583","397.452","29.344","0.028","14416.925","294.223","70.092","2470.497","1087.777","3637.632","1803.56","5649.959","2799.435","6560.053","3323.112","5491.761","2778.205"
"MVZ162702","6292.602","2669.401","381388","347.2","22.627","0.026","13478.022","275.062","58.648","2804.52","1098.803","4246.28","1757.042","6368.936","2610.356","7616.091","3389.66","6292.602","2669.401"
"MVZ162703","8148.767","3062.105","413020","360.31","24.675","0.025","14349.531","292.848","39.27","3004.469","1111.007","5255.695","1991.421","8249.059","3088.445","9863.918","3692.819","8148.767","3062.105"
"MVZ162704","7037.073","3130.03","382153","375.569","22.627","0.026","14467.204","295.249","57.869","2837.133","1192.1","4536.582","2016.905","7149.133","3097.235","8535.722","3840.155","7037.073","3130.03"
"MVZ162708","6640.02","3032.663","447455","374.031","26.909","0.026","14132.075","288.41","60.969","2991.388","1486.762","4447.02","2250.257","6730.657","3041.549","8013.628","3509.734","6640.02","3032.663"
"MVZ162711","6723.085","3438.351","366458","414.095","22.627","0.026","16077.763","328.118","61.279","2770.188","1340.1","4430.353","2299.729","6867.335","3465.697","8038.536","4089.817","6723.085","3438.351"
"MVZ165405","5935.588","2756.257","304994","382.193","24.675","0.028","13813.424","281.907","61.798","2831.232","1037.737","3942.939","1748.745","6090.163","2763.066","7086.867","3352.744","5935.588","2756.257"
"MVZ165406","6293.989","3194.922","336534","379.019","29.344","0.026","14827.882","302.61","57.172","2867.966","1206.783","4278.588","2026.553","6405.943","3146.631","7526.452","3997.89","6293.989","3194.922"
"MVZ165408","6150.151","3393.263","287642","405.827","24.675","0.026","15812.998","322.714","57.973","2385.456","1153.011","3918.904","2071.712","6287.163","3368.703","7460.983","4239.438","6150.151","3393.263"
"MVZ165409","6693.727","3097.841","319377","398.651","24.675","0.025","15739.093","321.206","52.355","2972.612","1188.924","4693.748","2192.356","6874.513","3139.697","7756.241","3555.944","6693.727","3097.841"
"MVZ165410","6704.349","2902.849","241684","365.013","29.344","0.026","14089.028","287.531","55.973","2830.377","1170.045","4461.516","1907.006","6827.669","2871.293","8034.868","3579.544","6704.349","2902.849"
"MVZ165411","6637.375","2902.949","281670","395.618","22.627","0.028","14308.198","292.004","64.858","2567.352","1169.011","4335.256","1954.504","6794.354","2935.481","7931.349","3452.296","6637.375","2902.949"
"MVZ165415","6062.729","2604.152","326539","340.88","24.675","0.027","12818.071","261.593","56.347","2540.532","873.38","3971.13","1633.225","6188.517","2648.237","7317.859","3157.366","6062.729","2604.152"
"MVZ165416","6796.424","3561.298","280825","495.718","22.627","0.028","17492.366","356.987","89.431","3052.55","1263.445","4767.178","2409.08","6978.98","3608.666","7870.126","4141.019","6796.424","3561.298"
"MVZ165417","6004.17","2887.977","260396","389.128","22.627","0.027","14514.182","296.208","57.801","2365.989","950.145","3904.459","1801.772","6154.628","2904.479","7211.513","3516.134","6004.17","2887.977"
"MVZ165419","7024.977","2897.509","310770","391.674","22.627","0.027","14514.849","296.221","63.249","2851.61","1250.845","4419.195","1888.11","7079.667","2873.088","8709.345","3623.379","7024.977","2897.509"
"MVZ166913","5272.621","2420.154","334208","319.513","26.909","0.027","11839.196","241.616","46.044","2729.26","1087.72","3754.497","1655.21","5456.961","2447.727","6094.268","2857.732","5272.621","2420.154"
"MVZ166915","6276.907","2988.312","333300","345.832","24.675","0.026","13517.597","275.869","41.453","2932.9","1060.628","4491.015","1934.967","6450.056","2967.02","7241.706","3649.977","6276.907","2988.312"
"MVZ160767","6770.678","2663.961","348897","399.835","32","0.029","13569.071","276.92","83.116","2631.112","843.432","4428.696","1590.613","6923.143","2623.272","8094.907","3358.147","6770.678","2663.961"
"MVZ160768","6784.548","2554.074","415797","324.163","45.255","0.026","12324.237","251.515","52.989","3091.621","1209.633","4600.546","1731.741","6904.633","2503.627","8089.079","3153.7","6784.548","2554.074"
"MVZ160769","7146.661","2945.271","403521","427.77","38.055","0.028","15343.131","313.125","70.424","3032.662","1099.646","4904.018","1897.875","7323.441","2949.889","8349.209","3568.605","7146.661","2945.271"
"MVZ160772","6563.082","2986.71","458440","416.495","38.055","0.028","14801.155","302.064","72.03","2571.079","1020.105","4248.373","1828.574","6677.052","2947.805","7957.769","3755.556","6563.082","2986.71"
"MVZ160773","7806.321","3059.061","337263","416.938","32","0.027","15370.375","313.681","66.255","2837.655","971.068","5065.127","1865.974","7955.363","3046","9339.182","3819.807","7806.321","3059.061"
"MVZ160777","7517.273","2895.865","305977","417.894","29.344","0.029","14613.059","298.226","71.052","3353.031","1041.737","4984.166","1752.349","7608.467","2869.664","9070.06","3649.248","7517.273","2895.865"
"MVZ164441","6487.131","2606.647","286821","331.981","24.675","0.026","12852.954","262.305","44.629","2574.533","955.516","4160.974","1707.226","6610.847","2629.49","7873.934","3124.352","6487.131","2606.647"
"MVZ164443","6516.846","2620.472","274865","334.415","24.675","0.026","12883.925","262.937","45.745","2560.557","966.053","4168.56","1719.447","6639.664","2642.457","7917.419","3139.456","6516.846","2620.472"
"MVZ164445","7161.994","2956.981","305773","381.841","34.896","0.027","14062.259","286.985","61.721","2934.803","1164.551","4679.283","1918.163","7304.264","2977.384","8584.355","3562.436","7161.994","2956.981"
"MVZ164447","5991.195","3076.736","385342","426.442","34.896","0.028","15332.885","312.916","68.971","2258.525","1096.587","4196.181","2138.017","6212.928","3116.449","6854.877","3550.503","5991.195","3076.736"
"MVZ164450","6754.047","2744.941","467152","375.316","29.344","0.027","13863.063","282.92","57.766","2930.176","1125.616","4685.73","1877.838","6875.852","2748.837","7977.143","3306.94","6754.047","2744.941"
"MVZ164452","6334.955","3397.078","307413","504.513","29.344","0.03","16874.199","344.371","103.938","2532.082","1280.525","4584.397","2453.32","6567.162","3435.841","7137.825","3861.534","6334.955","3397.078"
"MVZ164454","7069.074","3508.579","309467","442.523","26.909","0.026","16953.266","345.985","61.318","2782.606","1326.393","4795.472","2363.354","7217.867","3551.786","8343.251","4130.083","7069.074","3508.579"
"MVZ164457","6945.804","3502.262","272826","493.79","26.909","0.028","17508.023","357.307","84.48","2687.992","1269.048","4764.383","2380.522","7124.573","3516.609","8104.252","4110.345","6945.804","3502.262"
"MVZ33529","5771.213","2637.605","423091","392.151","38.055","0.03","13073.114","266.798","81.699","2457.784","1157.282","4118.194","1886.916","5946.557","2629.68","6659.309","3122.473","5771.213","2637.605"
"MVZ46851","6756.054","2627.267","400029","360.487","26.909","0.028","12991.095","265.124","59.202","2600.205","881.677","4542.55","1740.963","6909.76","2626.548","7995.443","3168.828","6756.054","2627.267"
"MVZ46853","7289.365","3259.331","388636","486.133","26.909","0.03","16424.712","335.198","97.35","3042.236","1337.566","4864.901","2201.275","7420.134","3231.799","8694.474","3938.042","7289.365","3259.331"
"MVZ65511","7259.248","3126.271","392419","468.443","26.909","0.029","15884.095","324.165","94.298","3024.202","1140.073","4831.569","2037.308","7387.262","3099.363","8673.148","3812.157","7259.248","3126.271"
"MVZ65513","7366.812","2677.106","347866","327.535","49.351","0.025","13257.282","270.557","43.104","3082.737","1001.398","4617.236","1661.752","7428.253","2668.515","9118.71","3352.127","7366.812","2677.106"
"MVZ82381","6631.86","3035.998","492198","412.672","26.909","0.028","14808.403","302.212","64.073","2526.887","1067.417","4589.497","2136.548","6837.082","3078.786","7659.753","3519.551","6631.86","3035.998"
"MVZ133192","5933.808","2963.213","440955","420.976","29.344","0.028","15265.545","311.542","73.434","2622.667","1077.541","4349.698","2076.454","6145.616","3003.365","6699.206","3407.598","5933.808","2963.213"
"MVZ134098","8575.052","3405.415","440605","464.527","32","0.028","16822.715","343.321","73.996","3894.779","1423.667","6486.108","2623.673","8795.485","3497.496","9535.256","3704.742","8575.052","3405.415"
"MVZ134099","7740.925","3037.09","432064","373.47","29.344","0.026","14464.928","295.203","56.488","3324.605","1228.077","5293.282","2111.651","7858.489","3032.804","9171.079","3593.014","7740.925","3037.09"
"MVZ134250","7002.066","2698.099","395347","360.46","24.675","0.028","12964.499","264.582","66.409","3042.578","1050.57","4870.956","1864.303","7142.064","2721.335","8217.015","3150.708","7002.066","2698.099"
"MVZ57430","9200.34","3810.477","472834","536.093","29.344","0.029","18763.606","382.931","89.166","4095.137","1418.209","6560.868","2626.04","9372.454","3816.62","10581.843","4451.864","9200.34","3810.477"
"MVZ57431","10811.307","3447.501","536158","434.578","24.675","0.027","16128.646","329.156","65.342","5145.997","1731.379","7792.154","2594.599","10919.636","3504.305","12509.883","3853.55","10811.307","3447.501"
"MVZ57432","10722.525","4903.989","569618","624.656","29.344","0.027","22975.042","468.878","99.169","4748.901","2036.788","7713.66","3550.425","10863.912","4943.574","12334.415","5596.257","10722.525","4903.989"
"MVZ57441","10370.404","3179.346","433367","386.687","24.675","0.025","15557.201","317.494","45.579","4625.259","1317.455","7416.357","2331.483","10454.702","3240.448","12082.87","3625.867","10370.404","3179.346"
"MVZ67608","7662.087","3728.819","365059","486.266","24.675","0.027","18224.503","371.929","73.982","3576.224","1454.024","5727.299","2639.447","7846.202","3748.503","8640.63","4304.337","7662.087","3728.819"
"MVZ67701","7674.713","2941.972","428394","404.515","26.909","0.028","14653.208","299.045","58.312","3407.881","1066.339","5288.322","1973.026","7819.257","2996.199","9017.507","3439.17","7674.713","2941.972"
"MVZ69178","7987.394","3734.088","362196","531.045","22.627","0.028","18726.47","382.173","89.79","3747.926","1527.443","5628.382","2616.797","8133.084","3793.856","9303.34","4271.718","7987.394","3734.088"
"MVZ69181","7717.51","3964.439","323022","588.17","20.749","0.029","20182.429","411.886","111.585","3862.394","1753.465","5580.403","2858.251","7884.443","4026.308","8867.725","4462.665","7717.51","3964.439"
"MVZ69184","7226.916","3350.444","325920","448.856","32","0.027","16528.424","337.315","81.367","3289.061","1258.623","5021.172","2249.405","7373.145","3397.744","8471.911","3889.671","7226.916","3350.444"
"MVZ90359","6309.596","1970.231","437564","244.211","32","0.027","8904.653","181.728","36.012","3255.597","1014.66","4600.393","1517.221","6477.66","1991.093","7247.143","2241.45","6309.596","1970.231"
"MVZ90360","8442.261","1665.751","395581","200.786","24.675","0.025","8121.264","165.74","24.745","4413.731","998.81","6326.886","1422.043","8553.148","1694.519","9675.204","1809.681","8442.261","1665.751"
"MVZ90361","7906.915","2892.238","448448","345.675","34.896","0.027","12948.821","264.262","49.252","3733.395","1391.163","5975.312","2329.275","8113.629","2941.592","8829.677","3132.022","7906.915","2892.238"
"MVZ90362","7418.431","2086.177","564312","248.649","34.896","0.024","10304.125","210.288","24.644","3644.515","983.905","5462.726","1544.859","7583.704","2148.189","8468.318","2364.651","7418.431","2086.177"
"MVZ90365","7648.295","2471.891","388096","361.05","29.344","0.029","12338.446","251.805","63.071","3700.392","985.838","5679.989","1781.564","7827.141","2528.696","8666.231","2772.917","7648.295","2471.891"
"MVZ64678","9863.579","3785.965","360701","571.579","26.909","0.03","19307.361","394.028","106.555","3900.702","1173.661","6601.212","2414.178","10010.473","3853.257","11647.912","4455.695","9863.579","3785.965"
