"","dorsal_UV","dorsal_VIS","dorsal_NIR","dorsal_solar_reflectance"
"MVZ116808",0.045967059,0.12022455,0.530064165,0.243622897
"MVZ116809",0.050969412,0.12964275,0.492007435,0.240428334
"MVZ120329",0.048539216,0.1128512,0.534555271,0.232320124
"MVZ120330",0.061650196,0.141998,0.570146882,0.272279617
"MVZ19481",0.058759608,0.1447322,0.550226353,0.270770394
"MVZ19482",0.061534902,0.1269518,0.552046824,0.247666124
"MVZ19483",0.064451765,0.1473303,0.553178953,0.271368997
"MVZ19484",0.057011765,0.12492325,0.546592918,0.246721063
"MVZ19486",0.057808235,0.14431595,0.5976886,0.282283576
"MVZ19487",0.064280392,0.14645245,0.559467153,0.267351823
"MVZ19488",0.062662745,0.1628922,0.627393329,0.305617048
"MVZ19496",0.04856902,0.12677615,0.573323176,0.261383333
"MVZ29155",0.072775294,0.1685488,0.568871282,0.29466943
"MVZ3471",0.076619216,0.15927155,0.580077341,0.282957919
"MVZ3472",0.050240784,0.12426905,0.578562494,0.257905525
"MVZ3473",0.051204314,0.13737735,0.574142224,0.269503198
"MVZ3479",0.044684706,0.1143347,0.568329341,0.250819939
"MVZ3667",0.050386275,0.1277286,0.574311753,0.264664959
"MVZ64599",0.043943922,0.1182859,0.502945494,0.232103701
"MVZ90619",0.063215294,0.1674539,0.602402188,0.308168714
"MVZ10234",0.045889412,0.1498058,0.563806035,0.321299562
"MVZ10235",0.040722745,0.1292518,0.512596612,0.36056167
"MVZ24483",0.050545098,0.1422069,0.556140282,0.490737963
"MVZ5433",0.046185882,0.14530855,0.521804518,0.401493431
"MVZ5434",0.049965882,0.12658595,0.503873518,0.332439802
"MVZ5435",0.045722745,0.14757395,0.531148859,0.411603374
"MVZ5436",0.046958039,0.13539645,0.502930565,0.315834453
"MVZ78852",0.059270588,0.16381375,0.573840482,0.368446075
"MVZ82391",0.048947843,0.13694385,0.489713576,0.362070204
"MVZ63384",0.04376549,0.08729635,0.491651282,0.341575279
"MVZ63386",0.053938039,0.1151963,0.509604447,0.314950989
"MVZ102726",0.06994549,0.17215945,0.598022176,0.412314845
"MVZ102727",0.079915686,0.20876975,0.656538306,0.505972032
"MVZ140817",0.06466549,0.19495865,0.661635424,0.528530961
"MVZ162726",0.064123137,0.1830446,0.667233894,0.509033321
"MVZ162727",0.09929451,0.24718075,0.683120294,0.506022101
"MVZ162729",0.082163922,0.2015468,0.662913259,0.529799633
"MVZ162730",0.065454118,0.17585155,0.607689882,0.438436378
"MVZ19502",0.068194118,0.1736648,0.642944706,0.458824554
"MVZ22501",0.083111373,0.2266415,0.706713576,0.524997211
"MVZ22502",0.063636863,0.1679359,0.6041522,0.500612953
"MVZ24550",0.078602745,0.1890951,0.609803612,0.434021437
"MVZ29153",0.061139608,0.1699209,0.529770518,0.37706963
"MVZ29166",0.058181961,0.15162545,0.541984847,0.423024089
"MVZ29169",0.055816078,0.15666645,0.578123953,0.464033882
"MVZ29170",0.056207451,0.15384865,0.629739341,0.435536514
"MVZ29172",0.063408627,0.18268295,0.624520706,0.447395942
"MVZ29173",0.051550588,0.15666205,0.541171376,0.419197689
"MVZ29177",0.067200784,0.1754634,0.585285624,0.434356985
"MVZ82393",0.081557255,0.2155831,0.6140142,0.515566693
"MVZ82394",0.067998431,0.1724421,0.614756388,0.376493849
"MVZ139540",0.064016863,0.13319185,0.593635647,0.416164409
"MVZ139544",0.06449098,0.1752666,0.577641965,0.392591621
"MVZ139545",0.068613725,0.15740315,0.590357118,0.363482687
"MVZ139546",0.05347098,0.12527035,0.577447576,0.397606838
"MVZ143776",0.065598431,0.13865095,0.5913626,0.356485433
"MVZ152933",0.057679216,0.1518082,0.524586706,0.391235151
"MVZ152934",0.060486275,0.15336295,0.529271341,0.352990794
"MVZ102593",0.065780784,0.1468931,0.6077168,0.435774317
"MVZ102594",0.068472157,0.16340075,0.587075976,0.355433472
"MVZ102596",0.064220784,0.1248769,0.542370012,0.425386973
"MVZ102600",0.054534902,0.1242942,0.483334482,0.330001321
"MVZ102601",0.060472157,0.13860295,0.562960506,0.406569131
"MVZ102604",0.061053333,0.1307177,0.547961553,0.413187538
"MVZ102608",0.067681961,0.14781095,0.624614176,0.519359311
"MVZ102610",0.060539608,0.12483965,0.518201871,0.377342849
"MVZ102612",0.045619608,0.10306325,0.481257776,0.355433784
"MVZ102614",0.043018039,0.0845384,0.396511918,0.283555259
"MVZ102623",0.073147843,0.156273,0.600263647,0.502823184
"MVZ158333",0.081730196,0.1804236,0.600325341,0.509050781
"MVZ42658",0.053981569,0.11658725,0.511104435,0.351580926
"MVZ42659",0.06932902,0.1482879,0.535096424,0.398978774
"MVZ82368",0.056347059,0.1200377,0.505463529,0.370432371
"MVZ102618",0.061741569,0.12323145,0.535681165,0.385330351
"MVZ158332",0.061319216,0.1420763,0.565853729,0.438479171
"MVZ158334",0.059326667,0.11211155,0.524878741,0.385898713
"MVZ158335",0.073738431,0.164266,0.602069788,0.464389857
"MVZ158337",0.067267843,0.15033375,0.583539388,0.443543149
"MVZ59518",0.064447843,0.15893285,0.577921765,0.360133607
"MVZ59534",0.051297255,0.12140105,0.496578506,0.29556428
"MVZ59535",0.071655294,0.167657,0.546773435,0.354015746
"MVZ59538",0.074002745,0.15712295,0.544663588,0.415318581
"MVZ59539",0.068297647,0.1554852,0.528634553,0.374501269
"MVZ59541",0.073362353,0.16675175,0.540827329,0.322943397
"MVZ59542",0.071836471,0.16407245,0.508976871,0.369131771
"MVZ59543",0.059885098,0.13084205,0.5105864,0.3129498
"MVZ59545",0.06127451,0.13925805,0.465998565,0.33718444
"MVZ59552",0.083501569,0.200213,0.549195706,0.398234759
"MVZ59558",0.059385882,0.1298825,0.515008106,0.382735276
"MVZ59559",0.066561961,0.15021235,0.550906012,0.338327762
"MVZ59560",0.067124314,0.1578646,0.560342024,0.357546621
"MVZ59563",0.080625882,0.20795195,0.544246176,0.3127297
"MVZ73374",0.050418039,0.1044609,0.476921424,0.293217374
"MVZ82371",0.050170588,0.10324655,0.471656282,0.355826791
"MVZ120124",0.050760784,0.1104961,0.561756541,0.237346292
"MVZ120125",0.052750196,0.12110695,0.601837812,0.264729883
"MVZ120127",0.050422745,0.11509325,0.588413306,0.2579945
"MVZ120131",0.060384706,0.1237567,0.571112953,0.249843793
"MVZ120132",0.050874902,0.1056814,0.556075071,0.235180278
"MVZ120133",0.055093333,0.1100777,0.567106953,0.24169149
"MVZ174004",0.055803529,0.1276506,0.619498024,0.268793027
"MVZ174005",0.06427098,0.13190755,0.623207165,0.273444392
"MVZ174006",0.068689804,0.14734795,0.650245353,0.291411316
"MVZ176999",0.061832157,0.1367896,0.560256612,0.258176235
"MVZ177000",0.065620392,0.15497015,0.612037353,0.288727023
"MVZ177001",0.067027451,0.16442495,0.628419565,0.299886445
"MVZ177002",0.061490588,0.13500725,0.591111929,0.264805051
"MVZ177003",0.064059608,0.1442053,0.576299141,0.276047594
"MVZ177004",0.069890196,0.16162715,0.638477635,0.301678106
"MVZ177005",0.06238902,0.1516722,0.608883694,0.292004858
"MVZ177006",0.062055294,0.14308675,0.593138388,0.271489251
"MVZ177009",0.073016471,0.1538139,0.595309094,0.284447432
"MVZ177010",0.077962353,0.1917865,0.656378659,0.333936382
"MVZ58402",0.055083137,0.1119528,0.575793341,0.245750337
"MVZ132294",0.056902353,0.14323025,0.570333647,0.430010575
"MVZ132295",0.055508627,0.1457047,0.568406388,0.413472637
"MVZ162686",0.068904706,0.1809999,0.5917988,0.462786754
"MVZ162687",0.058131765,0.14479205,0.574307247,0.457065714
"MVZ162689",0.062272549,0.16357545,0.595639071,0.44983637
"MVZ162691",0.069623922,0.16852125,0.594585894,0.383213801
"MVZ165396",0.046521569,0.1109336,0.531384353,0.398289433
"MVZ165398",0.06644902,0.17057835,0.600066541,0.418162738
"MVZ165400",0.063074902,0.13789225,0.572057682,0.389346548
"MVZ165401",0.057928627,0.1394466,0.581698306,0.421431373
"MVZ165402",0.065292549,0.1562664,0.570236294,0.451330915
"MVZ180084",0.057889804,0.13645975,0.532478882,0.395910373
"MVZ180088",0.052020784,0.1319696,0.508928365,0.395379904
"MVZ180089",0.052385098,0.12884525,0.497312318,0.387328064
"MVZ180090",0.052041176,0.1231955,0.512928059,0.369672791
"MVZ165717",0.069546275,0.1829934,0.597880941,0.485145839
"MVZ165718",0.059786275,0.1547011,0.608012824,0.450317268
"MVZ165720",0.070417255,0.18931275,0.605946329,0.504189219
"MVZ165729",0.07318549,0.19822975,0.618193847,0.467773339
"MVZ165730",0.055804314,0.14046105,0.575952976,0.44935555
"MVZ1066",0.068977255,0.1687788,0.507045447,0.317591684
"MVZ74244",0.050446275,0.12853425,0.468866965,0.23666894
"MVZ74245",0.055509412,0.1333183,0.505428447,0.340030729
"MVZ74248",0.064516471,0.15616855,0.543555482,0.335995106
"MVZ74249",0.0567,0.14619945,0.506364435,0.298188033
"MVZ74251",0.056429804,0.135649,0.520205906,0.338801103
"MVZ74252",0.061497255,0.150448,0.540454976,0.348450191
"MVZ74253",0.076549412,0.17397995,0.539710259,0.314389127
"MVZ74254",0.062431765,0.15575475,0.535679753,0.350398966
"MVZ74255",0.066287451,0.1715432,0.543437294,0.40417028
"MVZ74457",0.064810196,0.15964135,0.523501365,0.363302775
"MVZ8090",0.085925882,0.2116896,0.579512965,0.391146894
"MVZ852",0.064261569,0.17899295,0.541679518,0.330596083
"MVZ853",0.083181961,0.1969446,0.573564976,0.332915832
"MVZ854",0.070830588,0.1907385,0.559804576,0.324876607
"MVZ855",0.067301569,0.1660723,0.513421118,0.350976005
"MVZ961",0.072201176,0.1818624,0.513276529,0.306852787
"MVZ966",0.061411765,0.16521375,0.539085071,0.390868184
"MVZ102733",0.071219608,0.16436965,0.514467318,0.401386188
"MVZ102734",0.078241569,0.19214185,0.539782235,0.423444771
"MVZ163175",0.056106667,0.122689,0.515090494,0.367056103
"MVZ163176",0.040237255,0.09464685,0.503813059,0.377452226
"MVZ163177",0.050867843,0.11769815,0.535646541,0.373769157
"MVZ163179",0.034356863,0.08436505,0.515041529,0.377903201
"MVZ163180",0.046467059,0.10172685,0.513611565,0.409045978
"MVZ163216",0.050110196,0.10959745,0.514706071,0.375466549
"MVZ163217",0.048150196,0.1084601,0.5199248,0.403193805
"MVZ163218",0.044861176,0.11182945,0.555285918,0.429477374
"MVZ163219",0.05138,0.12051875,0.511619106,0.397970023
"MVZ163220",0.046371765,0.1161134,0.5387918,0.435123507
"MVZ163234",0.049056863,0.11276335,0.533641012,0.42109074
"MVZ163237",0.054556078,0.1432355,0.583870976,0.447955779
"MVZ163239",0.040960784,0.09557495,0.511174106,0.38181178
"MVZ163242",0.0456,0.1107142,0.550978494,0.45943245
"MVZ163243",0.045463529,0.1143954,0.518377494,0.409638216
"MVZ163247",0.040149804,0.1118387,0.559340576,0.37331707
"MVZ163249",0.055396078,0.13627965,0.578405212,0.402657251
"MVZ163250",0.054515294,0.12611495,0.576643988,0.441208804
"MVZ163251",0.047666667,0.12748825,0.581131047,0.420061071
"MVZ163254",0.040466667,0.1018622,0.539540271,0.396571631
"MVZ149571",0.064353725,0.1598533,0.541590741,0.494916489
"MVZ149572",0.081212549,0.18056895,0.560980106,0.444197912
"MVZ58954",0.06078902,0.1398758,0.532848365,0.4254045
"MVZ67284",0.062087451,0.1392975,0.527112859,0.307597092
"MVZ67286",0.052106275,0.12016705,0.508935624,0.363888136
"MVZ71116",0.059298431,0.13558805,0.465126141,0.302158975
"MVZ71117",0.060882353,0.14395715,0.528304659,0.397352339
"MVZ71118",0.077944706,0.1779784,0.538629541,0.307206579
"MVZ71119",0.075291765,0.1805035,0.527982776,0.353324008
"MVZ71120",0.067765882,0.15505455,0.532412859,0.361568114
"MVZ71121",0.057118431,0.1228004,0.458980153,0.352265762
"MVZ82390",0.06830902,0.1754076,0.542041188,0.378332586
"MVZ87783",0.055769804,0.16120235,0.524121388,0.399618429
"MVZ87784",0.059332549,0.1666975,0.521640624,0.403893052
"MVZ87785",0.060399608,0.16159925,0.558924341,0.328810182
"MVZ87786",0.060231765,0.15026415,0.526185753,0.366403299
"MVZ87788",0.052892157,0.1399664,0.529762212,0.422772873
"MVZ22707",0.041849412,0.1352794,0.528854176,0.377872874
"MVZ22708",0.045357647,0.1299921,0.515190694,0.366463545
"MVZ22709",0.048124314,0.1393278,0.534663235,0.42265996
"MVZ22710",0.042099216,0.1162519,0.510826824,0.406498279
"MVZ22711",0.046961176,0.12191465,0.536295647,0.434556174
"MVZ22714",0.047681961,0.12741365,0.518078094,0.390071307
"MVZ22719",0.039925098,0.1128396,0.488962482,0.323011795
"MVZ22720",0.049833333,0.1607,0.544989176,0.317620113
"MVZ22721",0.050301961,0.1411402,0.556035894,0.334537917
"MVZ22722",0.049051765,0.1528999,0.539092459,0.343894663
"MVZ22724",0.046537255,0.14887315,0.525748518,0.361659349
"MVZ22727",0.039700392,0.11304375,0.495332859,0.340637226
"MVZ22729",0.038553725,0.11858815,0.511099024,0.331699495
"MVZ64579",0.039673725,0.11375745,0.480888682,0.386897617
"MVZ64581",0.037773333,0.1149953,0.460986094,0.359007533
"MVZ64583",0.044582353,0.1330159,0.480004224,0.325006369
"MVZ64587",0.0329,0.10140945,0.466834471,0.358527136
"MVZ64590",0.034830196,0.09669645,0.416044965,0.363358281
"MVZ64592",0.037931373,0.10826075,0.461720282,0.350654726
"MVZ64593",0.042543529,0.10993795,0.456123424,0.285918296
"MVZ162699",0.042341176,0.08606755,0.530766235,0.210720559
"MVZ162700",0.040063529,0.09260285,0.515860647,0.213010732
"MVZ162701",0.040186275,0.0859023,0.495859965,0.200965106
"MVZ162702",0.049861961,0.0970245,0.558033894,0.226703259
"MVZ162703",0.045477255,0.10903275,0.481548141,0.218329452
"MVZ162704",0.040269412,0.10008455,0.529616224,0.22738808
"MVZ162708",0.044448235,0.10045415,0.551462635,0.231984556
"MVZ162711",0.034498431,0.08281295,0.501807894,0.199634533
"MVZ165405",0.038409412,0.07981435,0.504132118,0.198491044
"MVZ165406",0.045734118,0.09015335,0.522014659,0.210038751
"MVZ165408",0.036749804,0.08968655,0.512996647,0.210533031
"MVZ165409",0.041698431,0.09315425,0.524634529,0.218748744
"MVZ165410",0.046962745,0.1030702,0.545219929,0.228136644
"MVZ165411",0.039392157,0.089195,0.546503341,0.220862837
"MVZ165415",0.036869412,0.0852151,0.537567224,0.213218013
"MVZ165416",0.041670588,0.0906681,0.526594412,0.213705829
"MVZ165417",0.03727098,0.0861288,0.540173859,0.212997337
"MVZ165419",0.043494118,0.10252145,0.564698106,0.235463447
"MVZ166913",0.04460902,0.08758905,0.529147965,0.208260746
"MVZ166915",0.034522353,0.0691445,0.506377082,0.187347294
"MVZ160767",0.048988235,0.11186845,0.546015329,0.230055173
"MVZ160768",0.043571373,0.0992514,0.463764635,0.206091229
"MVZ160769",0.038338431,0.09130855,0.507055894,0.210630504
"MVZ160772",0.048093725,0.118985,0.5343334,0.242241779
"MVZ160773",0.048278431,0.11398475,0.547504647,0.236278453
"MVZ160777",0.041922353,0.09883805,0.524667047,0.224420508
"MVZ164441",0.054436471,0.1170565,0.581176788,0.247821749
"MVZ164443",0.054220784,0.1299802,0.522384894,0.245852697
"MVZ164445",0.043509412,0.1123661,0.501356035,0.229377747
"MVZ164447",0.047520784,0.1027445,0.532695976,0.21993281
"MVZ164450",0.048799608,0.11105125,0.502088682,0.220654404
"MVZ164452",0.057924314,0.1342595,0.564417694,0.260774107
"MVZ164454",0.051990588,0.11321755,0.535183988,0.237127271
"MVZ164457",0.048991765,0.11932835,0.512068612,0.231436927
"MVZ33529",0.055899608,0.1125638,0.559189012,0.236439258
"MVZ46851",0.051878824,0.1161339,0.506844565,0.225456456
"MVZ46853",0.052222353,0.1206873,0.544198224,0.246130589
"MVZ65511",0.053029804,0.12226185,0.538614612,0.244214506
"MVZ65513",0.04910902,0.1017394,0.537309835,0.225638942
"MVZ82381",0.045540784,0.10399885,0.530197388,0.222354505
"MVZ133192",0.048252157,0.0957123,0.493555435,0.391536922
"MVZ134098",0.074183922,0.1711005,0.590341894,0.528768434
"MVZ134099",0.065216078,0.1329246,0.523545188,0.337160044
"MVZ134250",0.054353725,0.1292517,0.557783259,0.366491452
"MVZ57430",0.063592549,0.13778495,0.536010741,0.454907542
"MVZ57431",0.08355451,0.1920525,0.599899341,0.485679249
"MVZ57432",0.074105098,0.1611062,0.566621706,0.377081424
"MVZ57441",0.080018431,0.1762233,0.580174506,0.39656743
"MVZ67608",0.05496902,0.11345335,0.494233518,0.451357242
"MVZ67701",0.058568235,0.1468724,0.554761129,0.465183497
"MVZ69178",0.061937255,0.1296772,0.528901471,0.354469022
"MVZ69181",0.075812549,0.151345,0.572732141,0.457594991
"MVZ69184",0.05744,0.1186159,0.538878871,0.360917803
"MVZ90359",0.06546,0.14138385,0.416227682,0.298012683
"MVZ90360",0.073727451,0.13974555,0.373054765,0.277820649
"MVZ90361",0.079540784,0.16354885,0.426916847,0.308598618
"MVZ90362",0.068616863,0.1276805,0.403693659,0.304780825
"MVZ90365",0.054367059,0.10419405,0.383274906,0.268664401
"MVZ64678",0.063065098,0.1549125,0.533880471,0.401506384
